1765325651.203525 server started (53780): version 3.6, socket /private/tmp/tmux-501/default, protocol 8
1765325651.203544 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Wed Oct 15 21:12:09 PDT 2025; root:xnu-11417.140.69.703.14~1/RELEASE_ARM64_T6031
1765325651.203554 using libevent 2.1.12-stable select
1765325651.203562 using utf8proc 2.11.2
1765325651.203568 using ncurses 6.5 20240427
1765325651.204144 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1765325651.204147 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1765325651.204151 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1765325651.204154 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1765325651.204158 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1765325651.204161 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1765325651.204165 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1765325651.204169 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1765325651.204173 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1765325651.204180 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1765325651.204184 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1765325651.204187 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1765325651.204191 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1765325651.204194 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1765325651.204198 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1765325651.204202 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1765325651.204206 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1765325651.204210 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1765325651.204214 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1765325651.204218 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1765325651.204222 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1765325651.204226 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1765325651.204230 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1765325651.204233 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1765325651.204236 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1765325651.204245 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1765325651.204249 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1765325651.204320 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1765325651.204325 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1765325651.204329 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1765325651.204332 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1765325651.204336 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1765325651.204339 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1765325651.204342 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1765325651.204346 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1765325651.204349 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1765325651.204353 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1765325651.204356 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1765325651.204360 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1765325651.204363 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1765325651.204366 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1765325651.204370 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1765325651.204373 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1765325651.204377 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1765325651.204380 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1765325651.204384 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1765325651.204389 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1765325651.204393 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1765325651.204398 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1765325651.204407 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1765325651.204492 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1765325651.204507 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1765325651.204516 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1765325651.204523 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1765325651.204528 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1765325651.204532 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1765325651.204536 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1765325651.204541 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1765325651.204604 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1765325651.204610 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1765325651.204613 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1765325651.204617 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1765325651.204621 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1765325651.204624 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1765325651.204628 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1765325651.204631 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1765325651.204635 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1765325651.204638 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1765325651.204642 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1765325651.204645 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1765325651.204649 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1765325651.204652 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1765325651.204655 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1765325651.204659 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1765325651.204662 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1765325651.204665 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1765325651.204669 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1765325651.204672 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1765325651.204676 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1765325651.204679 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1765325651.204737 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1765325651.204742 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1765325651.204746 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1765325651.204749 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1765325651.204753 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1765325651.204757 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1765325651.204761 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1765325651.204765 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1765325651.204769 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1765325651.204773 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1765325651.204777 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1765325651.204781 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1765325651.204785 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1765325651.204840 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1765325651.204845 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1765325651.204849 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1765325651.204852 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1765325651.204855 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1765325651.204858 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1765325651.204862 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1765325651.204865 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1765325651.204869 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1765325651.204872 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1765325651.204875 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1765325651.204883 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1765325651.204887 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1765325651.204891 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1765325651.204894 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1765325651.204898 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1765325651.204901 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1765325651.204905 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1765325651.204908 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1765325651.204911 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1765325651.204914 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1765325651.204918 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1765325651.204921 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1765325651.204926 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1765325651.204975 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1765325651.204980 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1765325651.204987 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1765325651.204990 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1765325651.204995 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1765325651.205000 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1765325651.205005 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1765325651.205010 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1765325651.205014 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1765325651.205018 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1765325651.205024 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1765325651.205076 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1765325651.205082 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1765325651.205087 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1765325651.205092 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1765325651.205096 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1765325651.205100 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1765325651.205105 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1765325651.205109 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1765325651.205115 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1765325651.205121 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1765325651.205127 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1765325651.205132 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1765325651.205138 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1765325651.205144 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1765325651.205148 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1765325651.205235 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1765325651.205241 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1765325651.205246 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1765325651.205252 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1765325651.205256 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1765325651.205261 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1765325651.205265 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1765325651.205270 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1765325651.205274 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1765325651.205293 yylex_token: end at WS
1765325651.205298 yylex_token: bind
1765325651.205303 yylex_token: end at WS
1765325651.205308 yylex_token: -N
1765325651.205313 yylex_token: end at WS
1765325651.205317 yylex_token: Send the prefix key
1765325651.205322 yylex_token: end at WS
1765325651.205326 yylex_token: C-b
1765325651.205339 yylex_token: end at WS
1765325651.205404 yylex_token: send-prefix
1765325651.205412 cmd_parse_build_commands 0:0: bind
1765325651.205416 cmd_parse_build_commands 0:1: -N
1765325651.205421 cmd_parse_build_commands 0:2: Send the prefix key
1765325651.205426 cmd_parse_build_commands 0:3: C-b
1765325651.205430 cmd_parse_build_commands 0:4 0:0: send-prefix
1765325651.205439 cmd_parse_build_commands 0:0: send-prefix
1765325651.205448 args_parse: flags end at 1 of 1
1765325651.205455 cmd_parse_build_commands: send-prefix
1765325651.205461 args_parse_flags: next -N
1765325651.205466 args_parse_flag_argument: -N = Send the prefix key
1765325651.205472 args_parse_flags: next C-b
1765325651.205477 args_parse: flags end at 3 of 5
1765325651.205482 args_parse: 3 = C-b (type STRING)
1765325651.205490 args_parse: 4 = send-prefix (type COMMANDS)
1765325651.205501 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1765325651.205560 cmdq_get_command: [bind-key/0x15c9042f0] group 6
1765325651.205567 cmdq_append <global>: [bind-key/0x15c9042f0]
1765325651.205572 yylex_token: end at WS
1765325651.205578 yylex_token: bind
1765325651.205584 yylex_token: end at WS
1765325651.205589 yylex_token: -N
1765325651.205598 yylex_token: end at WS
1765325651.205604 yylex_token: Rotate through the panes
1765325651.205610 yylex_token: end at WS
1765325651.205616 yylex_token: C-o
1765325651.205623 yylex_token: end at WS
1765325651.205630 yylex_token: rotate-window
1765325651.205637 cmd_parse_build_commands 0:0: bind
1765325651.205688 cmd_parse_build_commands 0:1: -N
1765325651.205695 cmd_parse_build_commands 0:2: Rotate through the panes
1765325651.205699 cmd_parse_build_commands 0:3: C-o
1765325651.205704 cmd_parse_build_commands 0:4 0:0: rotate-window
1765325651.205711 cmd_parse_build_commands 0:0: rotate-window
1765325651.205717 args_parse: flags end at 1 of 1
1765325651.205723 cmd_parse_build_commands: rotate-window
1765325651.205729 args_parse_flags: next -N
1765325651.205734 args_parse_flag_argument: -N = Rotate through the panes
1765325651.205739 args_parse_flags: next C-o
1765325651.205744 args_parse: flags end at 3 of 5
1765325651.205750 args_parse: 3 = C-o (type STRING)
1765325651.205756 args_parse: 4 = rotate-window (type COMMANDS)
1765325651.205766 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1765325651.205773 cmdq_get_command: [bind-key/0x15c904bd0] group 14
1765325651.205820 cmdq_append <global>: [bind-key/0x15c904bd0]
1765325651.205827 yylex_token: end at WS
1765325651.205832 yylex_token: bind
1765325651.205838 yylex_token: end at WS
1765325651.205843 yylex_token: -N
1765325651.205850 yylex_token: end at WS
1765325651.205855 yylex_token: Suspend the current client
1765325651.205861 yylex_token: end at WS
1765325651.205872 yylex_token: C-z
1765325651.205922 yylex_token: end at WS
1765325651.205928 yylex_token: suspend-client
1765325651.205933 cmd_parse_build_commands 0:0: bind
1765325651.205938 cmd_parse_build_commands 0:1: -N
1765325651.205943 cmd_parse_build_commands 0:2: Suspend the current client
1765325651.205948 cmd_parse_build_commands 0:3: C-z
1765325651.205954 cmd_parse_build_commands 0:4 0:0: suspend-client
1765325651.205961 cmd_parse_build_commands 0:0: suspend-client
1765325651.205967 args_parse: flags end at 1 of 1
1765325651.205973 cmd_parse_build_commands: suspend-client
1765325651.205978 args_parse_flags: next -N
1765325651.205984 args_parse_flag_argument: -N = Suspend the current client
1765325651.205989 args_parse_flags: next C-z
1765325651.206035 args_parse: flags end at 3 of 5
1765325651.206041 args_parse: 3 = C-z (type STRING)
1765325651.206047 args_parse: 4 = suspend-client (type COMMANDS)
1765325651.206057 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1765325651.206064 cmdq_get_command: [bind-key/0x15c904fa0] group 22
1765325651.206089 cmdq_append <global>: [bind-key/0x15c904fa0]
1765325651.206139 yylex_token: end at WS
1765325651.206145 yylex_token: bind
1765325651.206149 yylex_token: end at WS
1765325651.206159 yylex_token: -N
1765325651.206164 yylex_token: end at WS
1765325651.206170 yylex_token: Select next layout
1765325651.206175 yylex_token: end at WS
1765325651.206180 yylex_token: Space
1765325651.206186 yylex_token: end at WS
1765325651.206191 yylex_token: next-layout
1765325651.206197 cmd_parse_build_commands 0:0: bind
1765325651.206202 cmd_parse_build_commands 0:1: -N
1765325651.206207 cmd_parse_build_commands 0:2: Select next layout
1765325651.206259 cmd_parse_build_commands 0:3: Space
1765325651.206278 cmd_parse_build_commands 0:4 0:0: next-layout
1765325651.206285 cmd_parse_build_commands 0:0: next-layout
1765325651.206298 args_parse: flags end at 1 of 1
1765325651.206351 cmd_parse_build_commands: next-layout
1765325651.206357 args_parse_flags: next -N
1765325651.206363 args_parse_flag_argument: -N = Select next layout
1765325651.206369 args_parse_flags: next Space
1765325651.206375 args_parse: flags end at 3 of 5
1765325651.206386 args_parse: 3 = Space (type STRING)
1765325651.206392 args_parse: 4 = next-layout (type COMMANDS)
1765325651.206410 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1765325651.206460 cmdq_get_command: [bind-key/0x15c905390] group 30
1765325651.206467 cmdq_append <global>: [bind-key/0x15c905390]
1765325651.206473 yylex_token: end at WS
1765325651.206478 yylex_token: bind
1765325651.206485 yylex_token: end at WS
1765325651.206490 yylex_token: -N
1765325651.206542 yylex_token: end at WS
1765325651.206548 yylex_token: Break pane to a new window
1765325651.206559 yylex_token: end at WS
1765325651.206564 yylex_token: !
1765325651.206569 yylex_token: end at WS
1765325651.206575 yylex_token: break-pane
1765325651.206580 cmd_parse_build_commands 0:0: bind
1765325651.206587 cmd_parse_build_commands 0:1: -N
1765325651.206592 cmd_parse_build_commands 0:2: Break pane to a new window
1765325651.206597 cmd_parse_build_commands 0:3: !
1765325651.206603 cmd_parse_build_commands 0:4 0:0: break-pane
1765325651.206610 cmd_parse_build_commands 0:0: break-pane
1765325651.206657 args_parse: flags end at 1 of 1
1765325651.206664 cmd_parse_build_commands: break-pane
1765325651.206669 args_parse_flags: next -N
1765325651.206686 args_parse_flag_argument: -N = Break pane to a new window
1765325651.206691 args_parse_flags: next !
1765325651.206697 args_parse: flags end at 3 of 5
1765325651.206703 args_parse: 3 = ! (type STRING)
1765325651.206708 args_parse: 4 = break-pane (type COMMANDS)
1765325651.206718 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1765325651.206724 cmdq_get_command: [bind-key/0x15c905720] group 38
1765325651.206730 cmdq_append <global>: [bind-key/0x15c905720]
1765325651.206737 yylex_token: end at WS
1765325651.206743 yylex_token: bind
1765325651.206750 yylex_token: end at WS
1765325651.206755 yylex_token: -N
1765325651.206762 yylex_token: end at WS
1765325651.206810 yylex_token: Split window vertically
1765325651.206816 yylex_token: end at WS
1765325651.206821 yylex_token: "
1765325651.206825 yylex_token: end at WS
1765325651.206830 yylex_token: split-window
1765325651.206836 cmd_parse_build_commands 0:0: bind
1765325651.206841 cmd_parse_build_commands 0:1: -N
1765325651.206846 cmd_parse_build_commands 0:2: Split window vertically
1765325651.206852 cmd_parse_build_commands 0:3: "
1765325651.206858 cmd_parse_build_commands 0:4 0:0: split-window
1765325651.206865 cmd_parse_build_commands 0:0: split-window
1765325651.206871 args_parse: flags end at 1 of 1
1765325651.206884 cmd_parse_build_commands: split-window
1765325651.206938 args_parse_flags: next -N
1765325651.206945 args_parse_flag_argument: -N = Split window vertically
1765325651.206952 args_parse_flags: next "
1765325651.206959 args_parse: flags end at 3 of 5
1765325651.206966 args_parse: 3 = " (type STRING)
1765325651.206973 args_parse: 4 = split-window (type COMMANDS)
1765325651.206984 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1765325651.207040 cmdq_get_command: [bind-key/0x15c905ac0] group 46
1765325651.207046 cmdq_append <global>: [bind-key/0x15c905ac0]
1765325651.207056 yylex_token: end at WS
1765325651.207061 yylex_token: bind
1765325651.207066 yylex_token: end at WS
1765325651.207072 yylex_token: -N
1765325651.207078 yylex_token: end at WS
1765325651.207083 yylex_token: List all paste buffers
1765325651.207088 yylex_token: end at WS
1765325651.207093 yylex_token: #
1765325651.207099 yylex_token: end at WS
1765325651.207145 yylex_token: list-buffers
1765325651.207152 cmd_parse_build_commands 0:0: bind
1765325651.207156 cmd_parse_build_commands 0:1: -N
1765325651.207162 cmd_parse_build_commands 0:2: List all paste buffers
1765325651.207167 cmd_parse_build_commands 0:3: #
1765325651.207173 cmd_parse_build_commands 0:4 0:0: list-buffers
1765325651.207180 cmd_parse_build_commands 0:0: list-buffers
1765325651.207187 args_parse: flags end at 1 of 1
1765325651.207193 cmd_parse_build_commands: list-buffers
1765325651.207200 args_parse_flags: next -N
1765325651.207254 args_parse_flag_argument: -N = List all paste buffers
1765325651.207260 args_parse_flags: next #
1765325651.207265 args_parse: flags end at 3 of 5
1765325651.207270 args_parse: 3 = # (type STRING)
1765325651.207276 args_parse: 4 = list-buffers (type COMMANDS)
1765325651.207285 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1765325651.207291 cmdq_get_command: [bind-key/0x15c905ed0] group 54
1765325651.207297 cmdq_append <global>: [bind-key/0x15c905ed0]
1765325651.207302 yylex_token: end at WS
1765325651.207308 yylex_token: bind
1765325651.207313 yylex_token: end at WS
1765325651.207367 yylex_token: -N
1765325651.207376 yylex_token: end at WS
1765325651.207382 yylex_token: Rename current session
1765325651.207389 yylex_token: end at WS
1765325651.207394 yylex_token: $
1765325651.207399 yylex_token: end at WS
1765325651.207405 yylex_token: command-prompt
1765325651.207410 yylex_token: end at WS
1765325651.207415 yylex_token: -I#S
1765325651.207428 yylex_token: end at WS
1765325651.207550 yylex_token: rename-session
1765325651.207558 yylex_token: end at WS
1765325651.207565 yylex_token: --
